"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","ICB_study","GSM_ID","Cell_Line","Cancer_type","Study_ID"
"SRX5100720",0.0022852902,0.00054608862,0,0.0002881916,"no_treatment","day3","day3",NA,"GSM3554836","p53-9263-3","Mammary cancer, NOS","GSE124821"
"SRX5100717",0.0009116088,0.00039816666,0,0.00012638664,"no_treatment","day3","day3",NA,"GSM3554837","p53-9263-3","Mammary cancer, NOS","GSE124821"
"SRX5100718",0.0018870258,0.00044056266,0,0.00019155978,"no_treatment","day3","day3",NA,"GSM3554838","p53-9263-3","Mammary cancer, NOS","GSE124821"
"SRX5100677",0.0018746934,0.0008457492,0,0.0004361848,"no_treatment","end","end",NA,"GSM3554839","p53-T1","Mammary cancer, NOS","GSE124821"
"SRX5100705",0.0050840808,0.0022478334,8.056842e-05,0.0006038976,"no_treatment","end","end",NA,"GSM3554840","p53-T12","Mammary cancer, NOS","GSE124821"
"SRX5100649",0.0018988236,0.00031742178,0,0.0003375706,"no_treatment","end","end",NA,"GSM3554841","p53-T2","Mammary cancer, NOS","GSE124821"
"SRX5100856",0.00044896782,0.00026009346,0,0.000264664,"no_treatment","end","end",NA,"GSM3554842","p53-T6","Mammary cancer, NOS","GSE124821"
"SRX5100733",0.0007424238,0.00032947194,1.2686564e-07,0.00016136466,"no_treatment","end","end",NA,"GSM3554843","p53-T7","Mammary cancer, NOS","GSE124821"
"SRX5100724",0.0014798766,0.0008097342,5.385956e-05,0.0003608006,"antiPD1; antiCTLA4;","Apobec_end","end","R","GSM3554847","T11","Mammary cancer, NOS","GSE124821"
"SRX5100723",0.0031490328,0.0014882904,0,0.0004615394,"no_treatment","UV_end","end","Baseline","GSM3554848","T11","Mammary cancer, NOS","GSE124821"
"SRX5100722",0.0033209712,0.0012124914,0.00011109058,0.00048488,"no_treatment","Apobec_day3","day3","Baseline","GSM3554849","T11","Mammary cancer, NOS","GSE124821"
"SRX5100642",0.0021267648,0.0010795356,7.36522e-05,0.0003755254,"antiPD1; antiCTLA4;","Apobec_end","end","R","GSM3554850","T11","Mammary cancer, NOS","GSE124821"
"SRX5100641",0.0028198794,0.0012310134,0.0003453532,0.0004258506,"no_treatment","UV_end","end","Baseline","GSM3554851","T11","Mammary cancer, NOS","GSE124821"
"SRX5100638",0.0054328692,0.0017605584,5.089042e-05,0.000529629,"antiPD1; antiCTLA4;","Apobec_day3","day3","R","GSM3554852","T11","Mammary cancer, NOS","GSE124821"
"SRX5100632",0.00712011,0.002415066,0.00019217666,0.0005784088,"antiPD1; antiCTLA4;","Apobec_day3","day3","R","GSM3554853","T11","Mammary cancer, NOS","GSE124821"
"SRX5100675",0.0050256258,0.0015913062,4.349316e-05,0.0004762342,"antiPD1; antiCTLA4;","Apobec_day3","day3","R","GSM3554854","T11","Mammary cancer, NOS","GSE124821"
"SRX5100860",0.0031908216,0.0011889852,5.329164e-05,0.0004939734,"no_treatment","Apobec_day3","day3","Baseline","GSM3554855","T11","Mammary cancer, NOS","GSE124821"
"SRX5100859",0.0019258032,0.0008456694,2.35763e-05,0.0003239946,"antiPD1; antiCTLA4;","Apobec_end","end","R","GSM3554856","T11","Mammary cancer, NOS","GSE124821"
"SRX5100858",0.0027990168,0.0014099154,0,0.0005212308,"no_treatment","UV_end","end","Baseline","GSM3554857","T11","Mammary cancer, NOS","GSE124821"
"SRX5100857",0.0042198696,0.00138237,4.036378e-05,0.0004307396,"antiPD1; antiCTLA4;","Apobec_day3","day3","R","GSM3554858","T11","Mammary cancer, NOS","GSE124821"
"SRX5100864",0.004331829,0.0013973934,0.0005156446,0.000583812,"no_treatment","Apobec_day3","day3","Baseline","GSM3554859","T11","Mammary cancer, NOS","GSE124821"
"SRX5100862",0.0025394886,0.0009702588,0.0003130756,0.0004547158,"no_treatment","Apobec_day3","day3","Baseline","GSM3554860","T11","Mammary cancer, NOS","GSE124821"
"SRX5100867",0.0018307998,0.0008953524,1.7730548e-06,0.000430252,"antiPD1; antiCTLA4;","Apobec_end","end","R","GSM3554861","T11","Mammary cancer, NOS","GSE124821"
"SRX5100866",0.0025536846,0.0013179912,0,0.0004079552,"no_treatment","UV_end","end","Baseline","GSM3554862","T11","Mammary cancer, NOS","GSE124821"
"SRX5100816",0.0020357004,0.0009948582,0,0.0003773776,"no_treatment","Apobec_end","end","Baseline","GSM3554863","T11","Mammary cancer, NOS","GSE124821"
"SRX5100817",0.0021124518,0.0009744918,2.77407e-05,0.0003476384,"no_treatment","Apobec_end","end","Baseline","GSM3554864","T11","Mammary cancer, NOS","GSE124821"
"SRX5100824",0.0019188072,0.000850095,9.183494e-06,0.000310118,"no_treatment","Apobec_end","end","Baseline","GSM3554865","T11","Mammary cancer, NOS","GSE124821"
"SRX5100825",0.002011377,0.000905019,0,0.000319176,"no_treatment","Apobec_end","end","Baseline","GSM3554866","T11","Mammary cancer, NOS","GSE124821"
"SRX5100790",0.003832701,0.0016066752,0.0005776184,0.0005080776,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554883","T11","Mammary cancer, NOS","GSE124821"
"SRX5100789",0.0059149656,0.001772211,0.000767779,0.0005653966,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554884","T11","Mammary cancer, NOS","GSE124821"
"SRX5100788",0.0028000908,0.0014333088,0.000426594,0.0003993662,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554885","T11","Mammary cancer, NOS","GSE124821"
"SRX5100787",0.0050314608,0.0015426648,0.0006714424,0.0005569002,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554886","T11","Mammary cancer, NOS","GSE124821"
"SRX5100794",0.0028929372,0.0012975012,6.417034e-05,0.0003792856,"no_treatment","UV_day7","day7","Baseline","GSM3554887","T11","Mammary cancer, NOS","GSE124821"
"SRX5100793",0.0033457344,0.0014224296,0,0.0005058482,"no_treatment","UV_day7","day7","Baseline","GSM3554888","T11","Mammary cancer, NOS","GSE124821"
"SRX5100688",0.0031333362,0.0015112878,0,0.0004708926,"no_treatment","UV_day7","day7","Baseline","GSM3554889","T11","Mammary cancer, NOS","GSE124821"
"SRX5100681",0.0028270908,0.0014391738,9.392614e-06,0.000616126,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554890","T11","Mammary cancer, NOS","GSE124821"
"SRX5100710",0.0030001548,0.0013947072,0,0.0004653536,"no_treatment","UV_day7","day7","Baseline","GSM3554891","T11","Mammary cancer, NOS","GSE124821"
"SRX5100624",0.0035638002,0.0015342678,0,0.000486253,"antiPD1; antiCTLA4;","day7","day7","NR","GSM3554892","T11","Mammary cancer, NOS","GSE124821"
"SRX5100625",0.0025436718,0.0011372934,0,0.0003816588,"antiPD1; antiCTLA4;","day7","day7","NR","GSM3554893","T11","Mammary cancer, NOS","GSE124821"
"SRX5100626",0.0031670382,0.001506186,0,0.0005348154,"antiPD1; antiCTLA4;","day7","day7","NR","GSM3554894","T11","Mammary cancer, NOS","GSE124821"
"SRX5100627",0.0035566464,0.0015145758,0,0.000545733,"antiPD1; antiCTLA4;","day7","day7","NR","GSM3554895","T11","Mammary cancer, NOS","GSE124821"
"SRX5100628",0.003199338,0.0013633902,0,0.0005253568,"no_treatment","day7","day7","Baseline","GSM3554896","T11","Mammary cancer, NOS","GSE124821"
"SRX5100660",0.0031540218,0.0014421396,0,0.0004932554,"no_treatment","day7","day7","Baseline","GSM3554897","T11","Mammary cancer, NOS","GSE124821"
"SRX5100659",0.0032424006,0.0014498112,0,0.0005277364,"no_treatment","day7","day7","Baseline","GSM3554898","T11","Mammary cancer, NOS","GSE124821"
"SRX5100658",0.0029806854,0.0013786932,0,0.0004289056,"no_treatment","day7","day7","Baseline","GSM3554899","T11","Mammary cancer, NOS","GSE124821"
"SRX5100657",0.0037598016,0.0021141678,0.0008223552,0.0006177436,"antiPD1; antiCTLA4;","Apobec_day7","day7","R","GSM3554900","T11","Mammary cancer, NOS","GSE124821"
"SRX5100656",0.0045750024,0.001216539,0.0016167826,0.0005689636,"antiPD1; antiCTLA4;","Apobec_day7","day7","R","GSM3554901","T11","Mammary cancer, NOS","GSE124821"
"SRX5100655",0.0021530946,0.00076755,0.00015280282,0.0002617418,"no_treatment","Apobec_day7","day7","Baseline","GSM3554902","T11","Mammary cancer, NOS","GSE124821"
"SRX5100654",0.0054601704,0.002036439,0.0006688686,0.0011280428,"antiPD1; antiCTLA4;","Apobec_day7","day7","R","GSM3554903","T11","Mammary cancer, NOS","GSE124821"
"SRX5100653",0.0021348846,0.0007599726,5.078994e-05,0.00028456,"no_treatment","Apobec_day7","day7","Baseline","GSM3554904","T11","Mammary cancer, NOS","GSE124821"
"SRX5100652",0.0018239298,0.0007432368,0.00010417714,0.0002620388,"no_treatment","Apobec_day7","day7","Baseline","GSM3554905","T11","Mammary cancer, NOS","GSE124821"
"SRX5100651",0.0059098002,0.0018844422,0.000832317,0.0005316004,"antiPD1; antiCTLA4;","Apobec_day7","day7","R","GSM3554906","T11","Mammary cancer, NOS","GSE124821"
"SRX5100848",0.0025400628,0.0008041674,5.720588e-05,0.0003064858,"no_treatment","Apobec_day7","day7","Baseline","GSM3554907","T11","Mammary cancer, NOS","GSE124821"
"SRX5100849",0.0019382706,0.0009847398,0,0.0003237688,"antiPD1; antiCTLA4;","end","end","NR","GSM3554908","T11","Mammary cancer, NOS","GSE124821"
"SRX5100846",0.0033792282,0.001495812,4.268988e-05,0.0005070408,"antiPD1; antiCTLA4;","end","end","NR","GSM3554909","T11","Mammary cancer, NOS","GSE124821"
"SRX5100847",0.0025263774,0.0011641188,3.282092e-05,0.000388368,"antiPD1; antiCTLA4;","end","end","NR","GSM3554910","T11","Mammary cancer, NOS","GSE124821"
"SRX5100844",0.0029854584,0.0013467096,0,0.0005352422,"no_treatment","UV_day3","day3","Baseline","GSM3554911","T11","Mammary cancer, NOS","GSE124821"
"SRX5100845",0.0029796816,0.0012856572,0,0.0004527178,"no_treatment","UV_day3","day3","Baseline","GSM3554912","T11","Mammary cancer, NOS","GSE124821"
"SRX5100842",0.0030162402,0.0012683244,0,0.0005208736,"no_treatment","UV_day3","day3","Baseline","GSM3554913","T11","Mammary cancer, NOS","GSE124821"
"SRX5100843",0.0030474732,0.001380522,0,0.0004160866,"no_treatment","UV_day3","day3","Baseline","GSM3554914","T11","Mammary cancer, NOS","GSE124821"
"SRX5100850",0.0015309258,0.0007714074,5.55885e-05,0.00019993746,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554915","T11","Mammary cancer, NOS","GSE124821"
"SRX5100851",0.0032122638,0.0012955584,0,0.0005430208,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554916","T11","Mammary cancer, NOS","GSE124821"
"SRX5100601",0.0027660072,0.0011352402,0.00013704004,0.0003442472,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554917","T11","Mammary cancer, NOS","GSE124821"
"SRX5100600",0.0029999328,0.0012144678,4.529314e-05,0.000552258,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554918","T11","Mammary cancer, NOS","GSE124821"
"SRX5100603",0.0036522942,0.0015832164,9.24242e-05,0.0006054938,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554919","T11","Mammary cancer, NOS","GSE124821"
"SRX5100602",0.0033371706,0.0015126558,0,0.0004322188,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554920","T11","Mammary cancer, NOS","GSE124821"
"SRX5100768",0.0027182574,0.0011985,0,0.000401243,"no_treatment","end","end","Baseline","GSM3554921","T11","Mammary cancer, NOS","GSE124821"
"SRX5100769",0.0027417222,0.001221894,0,0.0004079096,"no_treatment","end","end","Baseline","GSM3554922","T11","Mammary cancer, NOS","GSE124821"
"SRX5100762",0.0026296956,0.00114987,0,0.000383359,"no_treatment","end","end","Baseline","GSM3554923","T11","Mammary cancer, NOS","GSE124821"
"SRX5100763",0.0032663148,0.0014302128,0,0.0005171634,"no_treatment","day3","day3","Baseline","GSM3554924","T11","Mammary cancer, NOS","GSE124821"
"SRX5100764",0.002735892,0.001200714,0,0.0004051178,"no_treatment","day3","day3","Baseline","GSM3554925","T11","Mammary cancer, NOS","GSE124821"
"SRX5100765",0.0028008834,0.0013482552,0,0.0004950832,"no_treatment","day3","day3","Baseline","GSM3554926","T11","Mammary cancer, NOS","GSE124821"
"SRX5100758",0.0027452058,0.0013435998,0,0.0004938924,"no_treatment","day3","day3","Baseline","GSM3554927","T11","Mammary cancer, NOS","GSE124821"
"SRX5100759",0.0032560866,0.0013324182,2.431386e-05,0.0005915904,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554928","T11","Mammary cancer, NOS","GSE124821"
"SRX5100810",0.0026870568,0.0011101152,0,0.000425852,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554929","T11","Mammary cancer, NOS","GSE124821"
"SRX5100809",0.0042670122,0.001543692,7.099598e-05,0.0005132436,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554930","T11","Mammary cancer, NOS","GSE124821"
"SRX5100808",0.0020835138,0.000977199,0,0.0004099942,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554931","T11","Mammary cancer, NOS","GSE124821"
"SRX5100807",0.003207612,0.0012687294,0,0.0004420012,"antiPD1; antiCTLA4;","end","end","NR","GSM3554932","T11","Mammary cancer, NOS","GSE124821"
"SRX5100814",0.0027447528,0.0011237598,0,0.0004635536,"antiPD1; antiCTLA4;","end","end","NR","GSM3554933","T11","Mammary cancer, NOS","GSE124821"
"SRX5100813",0.0021778716,0.000910281,0,0.000338682,"no_treatment","end","end","Baseline","GSM3554934","T11","Mammary cancer, NOS","GSE124821"
"SRX5100812",0.0029556798,0.0013101198,4.069564e-05,0.0005049472,"no_treatment","end","end","Baseline","GSM3554935","T11","Mammary cancer, NOS","GSE124821"
"SRX5100684",0.0021778626,0.000957261,2.142046e-05,0.0004180588,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554936","T11","Mammary cancer, NOS","GSE124821"
"SRX5768452",0.0008436738,0.0003423573,0.0005922238,0.000592385,"antiCTLA4; old;","old",NA,"NR","GSM3739244","4T1","Mammary carcinoma","GSE130472"
"SRX5768453",0.001620798,0.00056488332,9.541792e-05,0.0003515036,"antiCTLA4; old;","old",NA,"NR","GSM3739245","4T1","Mammary carcinoma","GSE130472"
"SRX5768454",0.0019051374,0.0006616596,0.0003571214,0.000575283,"antiCTLA4; old;","old",NA,"NR","GSM3739246","4T1","Mammary carcinoma","GSE130472"
"SRX5768455",0.0016624926,0.000729798,0.00017981738,0.0003964374,"antiCTLA4; old;","old",NA,"NR","GSM3739247","4T1","Mammary carcinoma","GSE130472"
"SRX5768456",0.0014948346,0.0006228456,0.0003999996,0.0004657652,"antiCTLA4; old;","old",NA,"NR","GSM3739248","4T1","Mammary carcinoma","GSE130472"
"SRX5768457",0.0015891768,0.00051018498,0.0012158474,0.0005713196,"antiCTLA4; old;","old",NA,"NR","GSM3739249","4T1","Mammary carcinoma","GSE130472"
"SRX5768458",0.0013946976,0.0006484284,0.0004395848,0.000566769,"antiCTLA4; old;","old",NA,"NR","GSM3739250","4T1","Mammary carcinoma","GSE130472"
"SRX5768459",0.0015714996,0.0005223936,0.000469569,0.0006638026,"antiCTLA4; old;","old",NA,"NR","GSM3739251","4T1","Mammary carcinoma","GSE130472"
"SRX5768460",0.0012935808,0.00059393718,0.00016697444,0.0003899396,"isotype; old;","old",NA,"Baseline","GSM3739252","4T1","Mammary carcinoma","GSE130472"
"SRX5768461",0.0012317796,0.00048311784,1.1361696e-05,0.0002028904,"isotype; old;","old",NA,"Baseline","GSM3739253","4T1","Mammary carcinoma","GSE130472"
"SRX5768462",0.0013014834,0.000771483,0.0002578552,0.00016780626,"isotype; old;","old",NA,"Baseline","GSM3739254","4T1","Mammary carcinoma","GSE130472"
"SRX5768463",0.0027679572,0.0006654012,0.0010946226,0.0006069712,"isotype; old;","old",NA,"Baseline","GSM3739255","4T1","Mammary carcinoma","GSE130472"
"SRX5768464",0.0010294128,0.00056840376,0.00014400514,0.0003277602,"isotype; old;","old",NA,"Baseline","GSM3739256","4T1","Mammary carcinoma","GSE130472"
"SRX5768465",0.0015066138,0.0006763452,0.000383611,0.0002725126,"isotype; old;","old",NA,"Baseline","GSM3739257","4T1","Mammary carcinoma","GSE130472"
"SRX5768466",0.0019581282,0.00056331864,0.000541531,0.000416603,"isotype; old;","old",NA,"Baseline","GSM3739258","4T1","Mammary carcinoma","GSE130472"
"SRX5768467",0.0010903872,0.0006491778,0.0006844418,0.0003175272,"antiPDL1; old;","old",NA,"NR","GSM3739259","4T1","Mammary carcinoma","GSE130472"
"SRX5768468",0.001413363,0.0006984744,6.923598e-05,0.0003993882,"antiPDL1; old;","old",NA,"NR","GSM3739260","4T1","Mammary carcinoma","GSE130472"
"SRX5768469",0.002428104,0.00059701032,0.00015130078,0.000299508,"antiPDL1; old;","old",NA,"NR","GSM3739261","4T1","Mammary carcinoma","GSE130472"
"SRX5768470",0.000830442,0.0006367452,5.337946e-05,0.0003288314,"antiPDL1; old;","old",NA,"NR","GSM3739262","4T1","Mammary carcinoma","GSE130472"
"SRX5768471",0.001797849,0.0007543908,0.0002012508,0.0004209894,"antiPDL1; old;","old",NA,"NR","GSM3739263","4T1","Mammary carcinoma","GSE130472"
"SRX5768472",0.0013633806,0.00063456,0.0004050392,0.0004070754,"antiPDL1; old;","old",NA,"NR","GSM3739264","4T1","Mammary carcinoma","GSE130472"
"SRX5768473",0.0015751608,0.00057544212,0.0014763436,0.0005343448,"antiPDL1; old;","old",NA,"NR","GSM3739265","4T1","Mammary carcinoma","GSE130472"
"SRX5768474",0.00224172,0.00048686688,0.0017539854,0.0005299904,"antiPDL1; old;","old",NA,"NR","GSM3739266","4T1","Mammary carcinoma","GSE130472"
"SRX5768475",0.0018698838,0.000805659,0.00016542288,0.000388167,"antiCTLA4; young;","young",NA,"R","GSM3739267","4T1","Mammary carcinoma","GSE130472"
"SRX5768476",0.0018932724,0.0007980372,0.000363299,0.000486206,"antiCTLA4; young;","young",NA,"R","GSM3739268","4T1","Mammary carcinoma","GSE130472"
"SRX5768477",0.0014921604,0.000958881,0.0004309476,0.0006011788,"antiCTLA4; young;","young",NA,"R","GSM3739269","4T1","Mammary carcinoma","GSE130472"
"SRX5768478",0.002463054,0.0014153046,0.0004651128,0.0007117948,"antiCTLA4; young;","young",NA,"R","GSM3739270","4T1","Mammary carcinoma","GSE130472"
"SRX5768479",0.001221516,0.0006535626,0.0003493018,0.000421934,"antiCTLA4; young;","young",NA,"R","GSM3739271","4T1","Mammary carcinoma","GSE130472"
"SRX5768480",0.0021211278,0.0012803814,0.000837104,0.0005759738,"antiCTLA4; young;","young",NA,"R","GSM3739272","4T1","Mammary carcinoma","GSE130472"
"SRX5768481",0.0030256836,0.00019010568,0.003254814,0.0012456452,"antiCTLA4; young;","young",NA,"R","GSM3739273","4T1","Mammary carcinoma","GSE130472"
"SRX5768482",0.0020027466,0.0011025258,0.0017398504,0.0006141788,"antiCTLA4; young;","young",NA,"R","GSM3739274","4T1","Mammary carcinoma","GSE130472"
"SRX5768483",0.0019828386,0.0008680326,0.0012538156,0.0007628932,"antiCTLA4; young;","young",NA,"R","GSM3739275","4T1","Mammary carcinoma","GSE130472"
"SRX5768484",0.0019094322,0.0012068964,0.0014007456,0.000608739,"antiCTLA4; young;","young",NA,"R","GSM3739276","4T1","Mammary carcinoma","GSE130472"
"SRX5768485",0.0024014592,0.0010922832,0.0011900006,0.0010347294,"antiCTLA4; young;","young",NA,"R","GSM3739277","4T1","Mammary carcinoma","GSE130472"
"SRX5768486",0.002572809,0.0011859858,0.0010270608,0.0009233434,"antiCTLA4; young;","young",NA,"R","GSM3739278","4T1","Mammary carcinoma","GSE130472"
"SRX5768487",0.001754958,0.000777894,0.00014793026,0.0002775184,"isotype; young;","young",NA,"Baseline","GSM3739279","4T1","Mammary carcinoma","GSE130472"
"SRX5768488",0.001674501,0.0006387186,0.0010249488,0.0004342972,"isotype; young;","young",NA,"Baseline","GSM3739280","4T1","Mammary carcinoma","GSE130472"
"SRX5768489",0.0012933948,0.000603633,0.0007780718,0.0004960478,"isotype; young;","young",NA,"Baseline","GSM3739281","4T1","Mammary carcinoma","GSE130472"
"SRX5768490",0.0006917694,0.0006102042,0.00014112178,0.000397256,"isotype; young;","young",NA,"Baseline","GSM3739282","4T1","Mammary carcinoma","GSE130472"
"SRX5768491",0.0014475144,0.0007725816,0.0002529064,0.0003948158,"isotype; young;","young",NA,"Baseline","GSM3739283","4T1","Mammary carcinoma","GSE130472"
"SRX5768492",0.0013095276,0.0007677858,0.00013436476,0.0001957213,"isotype; young;","young",NA,"Baseline","GSM3739284","4T1","Mammary carcinoma","GSE130472"
"SRX5768493",0.00041860596,0.0006283722,0.0002271456,0.0004406478,"isotype; young;","young",NA,"Baseline","GSM3739285","4T1","Mammary carcinoma","GSE130472"
"SRX5768494",0.0014897718,0.00053822622,0.000834117,0.000598351,"antiPDL1; young;","young",NA,"R","GSM3739286","4T1","Mammary carcinoma","GSE130472"
"SRX5768495",0.0011427762,0.0006091062,0.00018016442,0.00035985,"antiPDL1; young;","young",NA,"R","GSM3739287","4T1","Mammary carcinoma","GSE130472"
"SRX5768496",0.0017700036,0.0005086086,0.0014697806,0.0004911034,"antiPDL1; young;","young",NA,"R","GSM3739288","4T1","Mammary carcinoma","GSE130472"
"SRX5768497",0.0009147252,0.0007685802,0.0002644868,0.0006250082,"antiPDL1; young;","young",NA,"R","GSM3739289","4T1","Mammary carcinoma","GSE130472"
"SRX5768498",0.0009721812,0.0007950006,0.0002925326,0.0005699986,"antiPDL1; young;","young",NA,"R","GSM3739290","4T1","Mammary carcinoma","GSE130472"
"SRX5768499",0.0013109688,0.00059856504,0.00013947026,0.000421405,"antiPDL1; young;","young",NA,"R","GSM3739291","4T1","Mammary carcinoma","GSE130472"
"SRX5768500",0.0002966358,0.0006408408,0.000237556,0.0004264258,"antiPDL1; young;","young",NA,"R","GSM3739292","4T1","Mammary carcinoma","GSE130472"
"SRX5768501",0.0009374448,0.0006020886,0.000255987,0.0003551476,"antiPDL1; young;","young",NA,"R","GSM3739293","4T1","Mammary carcinoma","GSE130472"
"SRX5768502",0.0015280566,0.0007645464,0.0002119234,0.00044305,"antiPDL1; young;","young",NA,"R","GSM3739294","4T1","Mammary carcinoma","GSE130472"
"SRX5768503",0.0019266624,0.000979128,0.0002532616,0.000494765,"antiPDL1; young;","young",NA,"R","GSM3739295","4T1","Mammary carcinoma","GSE130472"
"SRX5807102",0,0.0023236722,0.0004162856,0.002502278,"no_treatment",NA,NA,NA,"GSM3755948","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807103",0,0.0023713914,0.0004440478,0.002348692,"no_treatment",NA,NA,NA,"GSM3755949","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807104",0,0.002238441,0.0005195682,0.002986594,"no_treatment",NA,NA,NA,"GSM3755950","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807105",0,0.0019954326,0.0004595072,0.002211098,"no_treatment",NA,NA,NA,"GSM3755951","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807106",0,0.002364558,0.0006007598,0.002749182,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755952","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807107",0.00010387224,0.0021541464,0.0004212384,0.002014388,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755953","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807108",0,0.001990551,0.000516875,0.002043466,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755954","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807109",0,0.0018679422,0.0004919672,0.00209358,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755955","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807116",0.0035309112,0.0007813446,1.2900478e-05,0.0004063018,"no_treatment",NA,NA,NA,"GSM3755963","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807117",0.0024497628,0.0006780372,6.354936e-05,0.0001868198,"no_treatment",NA,NA,NA,"GSM3755966","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807118",0.003035181,0.0007935342,0.00014208478,0.000358541,"no_treatment",NA,NA,NA,"GSM3755968","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807119",0.0034752504,0.0009197826,0.000220684,0.000707058,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755971","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807120",0.0035305926,0.0009088248,0.0003860242,0.0005204406,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755973","Mvt1","Mammary carcinoma","GSE130900"
"SRX5807121",0.0037419798,0.0009741612,0.0004789724,0.0005266478,"no_treatment","Rnaseh2c_knockdown",NA,NA,"GSM3755975","Mvt1","Mammary carcinoma","GSE130900"
"SRX6095883",0.00119365122,0.000907939374,0.000231838846,0.000226803002,"vehicle",NA,NA,"Baseline","GSM3898688","4T1","Mammary carcinoma","GSE132529"
"SRX6095884",0.001102269342,0.000754204368,0.000103748244,0.00022788147,"vehicle",NA,NA,"Baseline","GSM3898689","4T1","Mammary carcinoma","GSE132529"
"SRX6095885",0.002870535666,0.001618287468,0.00020320566,0.000368549528,"vehicle",NA,NA,"Baseline","GSM3898690","4T1","Mammary carcinoma","GSE132529"
"SRX6095886",0.00182851257,0.000980362728,0.000219179092,0.000260730242,"antiPD1",NA,NA,"NR","GSM3898691","4T1","Mammary carcinoma","GSE132529"
"SRX6095887",0.002224034664,0.001119243858,0.000257914536,0.000304431338,"antiPD1",NA,NA,"NR","GSM3898692","4T1","Mammary carcinoma","GSE132529"
"SRX6095888",0.001423247856,0.000859021746,0.000190361244,0.000248486774,"antiPD1",NA,NA,"NR","GSM3898693","4T1","Mammary carcinoma","GSE132529"
"SRX6884966",0.0030390606,0.0009041034,0.00097724,0.0003148476,"no_treatment","Brca2_KO",NA,"Baseline","GSM4088892","4T1","Mammary carcinoma","GSE137818"
"SRX6884967",0.0020959686,0.0007440552,0.0009519668,0.0002351018,"no_treatment","Brca2_KO",NA,"Baseline","GSM4088893","4T1","Mammary carcinoma","GSE137818"
"SRX6884968",0.0022308966,0.0007040274,0.0005729212,0.000247094,"no_treatment","Brca2_KO",NA,"Baseline","GSM4088894","4T1","Mammary carcinoma","GSE137818"
"SRX6884969",0.002003454,0.0007808178,0.0004008588,0.0002915072,"no_treatment","Brca2_KO",NA,"Baseline","GSM4088895","4T1","Mammary carcinoma","GSE137818"
"SRX6884970",0.001660458,0.000764904,0.0009181578,0.0002783078,"no_treatment","Brca2_KO",NA,"Baseline","GSM4088896","4T1","Mammary carcinoma","GSE137818"
"SRX6884971",0.0006180258,0.0006702816,0.000208405,0.0002538566,"no_treatment","Brca1_KO",NA,"Baseline","GSM4088897","4T1","Mammary carcinoma","GSE137818"
"SRX6884972",0.0007104678,0.00054244878,1.3623268e-05,0.0003343814,"no_treatment","Brca1_KO",NA,"Baseline","GSM4088898","4T1","Mammary carcinoma","GSE137818"
"SRX6884973",0.0013390986,0.0008247204,3.117156e-05,0.000358183,"no_treatment","Brca1_KO",NA,"Baseline","GSM4088899","4T1","Mammary carcinoma","GSE137818"
"SRX6884974",0.0007425264,0.0006070356,0,0.0003529946,"no_treatment","Brca1_KO",NA,"Baseline","GSM4088900","4T1","Mammary carcinoma","GSE137818"
"SRX6884975",0.0006696378,0.0005605896,8.221948e-05,0.0003209416,"no_treatment","Brca1_KO",NA,"Baseline","GSM4088901","4T1","Mammary carcinoma","GSE137818"
